Year,India,China,Japan
1960,36535925031,59716467625,44307342950
1961,38709096076,50056868958,53508617739
1962,41599070242,47209359006,60723018684
1963,47776000900,50706799903,69498131797
1964,55726873084,59708343489,81749006382
1965,58760424670,70436266147,90950278258
1966,45253641303,76720285970,1.06E+11
1967,49466168891,72881631327,1.24E+11
1968,52377324284,70846535056,1.47E+11
1969,57668330026,79705906247,1.72E+11
1970,61589800520,92602973434,2.13E+11
1971,66452561866,99800958648,2.40E+11
1972,70509913049,1.14E+11,3.18E+11
1973,84374541630,1.39E+11,4.32E+11
1974,98198276857,1.44E+11,4.80E+11
1975,97159222024,1.63E+11,5.22E+11
1976,1.01E+11,1.54E+11,5.86E+11
1977,1.20E+11,1.75E+11,7.21E+11
1978,1.35E+11,1.50E+11,1.01E+12
1979,1.51E+11,1.78E+11,1.06E+12
1980,1.84E+11,1.91E+11,1.11E+12
1981,1.91E+11,1.96E+11,1.22E+12
1982,1.98E+11,2.05E+11,1.13E+12
1983,2.15E+11,2.31E+11,1.24E+12
1984,2.09E+11,2.60E+11,1.32E+12
1985,2.29E+11,3.09E+11,1.40E+12
1986,2.46E+11,3.01E+11,2.08E+12
1987,2.75E+11,2.73E+11,2.53E+12
1988,2.93E+11,3.12E+11,3.07E+12
1989,2.92E+11,3.48E+11,3.05E+12
1990,3.17E+11,3.61E+11,3.13E+12
1991,2.67E+11,3.83E+11,3.58E+12
1992,2.84E+11,4.27E+11,3.91E+12
1993,2.76E+11,4.45E+11,4.45E+12
1994,3.23E+11,5.64E+11,4.91E+12
1995,3.55E+11,7.35E+11,5.45E+12
1996,3.88E+11,8.64E+11,4.83E+12
1997,4.10E+11,9.62E+11,4.41E+12
1998,4.16E+11,1.03E+12,4.03E+12
1999,4.53E+11,1.09E+12,4.56E+12
2000,4.62E+11,1.21E+12,4.89E+12
2001,4.79E+11,1.34E+12,4.30E+12
2002,5.08E+11,1.47E+12,4.12E+12
2003,6.00E+11,1.66E+12,4.45E+12
2004,7.00E+11,1.96E+12,4.82E+12
2005,8.09E+11,2.29E+12,4.76E+12
2006,9.20E+11,2.75E+12,4.53E+12
2007,1.20E+12,3.55E+12,4.52E+12
2008,1.19E+12,4.60E+12,5.04E+12
2009,1.32E+12,5.11E+12,5.23E+12
2010,1.66E+12,6.10E+12,5.70E+12
2011,1.82E+12,7.57E+12,6.16E+12
2012,1.83E+12,8.56E+12,6.20E+12
2013,1.86E+12,9.61E+12,5.16E+12
2014,2.04E+12,1.05E+13,4.85E+12
2015,2.10E+12,1.11E+13,4.39E+12
2016,2.27E+12,1.12E+13,4.95E+12
2017,2.60E+12,1.22E+13,4.87E+12
