Year,Agriculture,Services
1950,51.81,33.25
1951,50.67,33.59
1952,50.05,35.22
1953,50.64,34.34
1954,45.86,38.18
1955,43.77,39.78
1956,46.58,36.44
1957,44.61,38.34
1958,46.27,36.87
1959,44.26,38.04
1960,42.56,38.25
1961,41.77,38.36
1962,39.89,39.91
1963,41.08,38.47
1964,42.96,37.15
1965,40.91,38.73
1966,41.81,37.95
1967,44.53,36.16
1968,43.52,36.71
1969,43.29,36.07
1970,41.95,37.22
1971,40.28,38.37
1972,40.28,38.27
1973,43.31,35.79
1974,40.31,37.6
1975,37.62,40.05
1976,35.75,40.86
1977,37.09,39.47
1978,35.47,40.12
1979,33.63,41.33
1980,35.39,39.92
1981,34.07,40.39
1982,32.88,41.53
1983,33.54,40.81
1984,32.21,41.83
1985,30.89,43.06
1986,29.74,44.05
1987,29.18,44.58
1988,30.2,43.67
1989,28.97,44.17
1990,29.02,44.18
1991,29.39,44.96
1992,28.74,45.22
1993,28.68,45.57
1994,28.27,45.03
1995,26.26,46.05
1996,27.13,45.96
1997,25.89,47.45
1998,25.79,48.26
1999,24.5,50.27
2000,23.02,50.98
2001,22.92,51.99
2002,20.7,53.13
2003,20.74,53.25
2004,19.03,53.05
2005,18.81,53.06
2006,18.29,52.87
2007,18.26,52.71
2008,17.78,53.93
2009,17.74,54.5
2010,18.21,54.64
2011,17.86,54.91
2012,17.52,56.27
2013,18.2,57.03
