Year,RnD,ForeignInvestment,GDP
1996,0.56334,4.651826651,8.64E+02
1997,0.63885,4.600334666,9.62E+02
1998,0.64685,4.251619792,1.03E+03
1999,0.74934,3.542330604,1.09E+03
2000,0.89566,3.475082246,1.21E+03
2001,0.93917,3.51300212,1.34E+03
2002,1.05541,3.609099885,1.47E+03
2003,1.12382,3.48740331,1.66E+03
2004,1.21378,3.483641114,1.96E+03
2005,1.31015,4.554254034,2.29E+03
2006,1.37128,4.508579016,2.75E+03
2007,1.37416,4.398685695,3.55E+03
2008,1.44251,3.730468946,4.60E+03
2009,1.66249,2.564740561,5.11E+03
2010,1.71007,3.994731929,6.10E+03
2011,1.77648,3.698517372,7.57E+03
2012,1.90711,2.817738858,8.56E+03
2013,1.99102,3.028225603,9.61E+03
2014,2.02106,2.557600305,1.05E+04
2015,2.06558,2.191564801,1.11E+04
